	L	B	S	T	H	I	N	U
L	32.336628117751864	1.5827254670940047	0.6250391696558665	2.722037233681754	0.45921139608169853	0.6281624798338952	4.970721076168826	0.6809431341491377
B	1.5827254670940047	24.96337463074765	0.7925195925185321	0.46405616531803023	0.5797221269708659	1.415233004991182	1.1158924454611425	0.548601433585871
S	0.6250391696558665	0.7925195925185321	1.63270695533616	0.30878725985063094	0.2918518866109975	0.42689812803273036	0.5678027832596072	0.31450502125616975
T	2.722037233681754	0.46405616531803023	0.30878725985063094	5.534952913593134	0.15897532760332367	0.21065902217047422	1.7191264160057074	0.33887418804080205
H	0.45921139608169853	0.5797221269708659	0.2918518866109975	0.15897532760332367	5.3930369605737285	0.5678413964103373	0.7607365533759658	0.3437412163625313
I	0.6281624798338952	1.415233004991182	0.42689812803273036	0.21065902217047422	0.5678413964103373	9.3172647538713	1.2365984403308576	0.44909628555309217
N	4.970721076168826	1.1158924454611425	0.5678027832596072	1.7191264160057074	0.7607365533759658	1.2365984403308576	32.280888642043436	0.745624780247771
U	0.6809431341491377	0.548601433585871	0.31450502125616975	0.33887418804080205	0.3437412163625313	0.44909628555309217	0.745624780247771	5.204232582604358
