	L	B	S	T	H	I	N	U
L	24.43297804381619	1.3013280836124832	0.6088837177171834	1.9617553135765773	0.5463824984891104	0.723506901445448	3.6277287094459667	0.9318611884389839
B	1.3013280836124832	23.106257090422822	0.7515193975796253	0.4004939455337922	0.590050921831715	1.5222238119528124	0.8669718189565655	0.6591949832726246
S	0.6088837177171834	0.7515193975796253	1.5798868201062175	0.29392350343338186	0.30038002723517276	0.49403076536316964	0.5358331189292819	0.33101866250174583
T	1.9617553135765773	0.4004939455337922	0.29392350343338186	4.057298194341706	0.19462309771689376	0.2505525506037499	1.2700359795646983	0.46397997944518454
H	0.5463824984891104	0.590050921831715	0.30038002723517276	0.19462309771689376	6.269226995405155	0.5016232248620799	0.9255782002508904	0.30490003196679727
I	0.723506901445448	1.5222238119528124	0.49403076536316964	0.2505525506037499	0.5016232248620799	10.485510846633328	1.1209140351331672	0.5956613757051561
N	3.6277287094459667	0.8669718189565655	0.5358331189292819	1.2700359795646983	0.9255782002508904	1.1209140351331672	25.417053184475947	1.0422924481993447
U	0.9318611884389839	0.6591949832726246	0.33101866250174583	0.46397997944518454	0.30490003196679727	0.5956613757051561	1.0422924481993447	7.056696940716015
