	L	B	S	T	H	I	N	U
L	1.1920264547810176e-05	9.181933976352414e-05	0.0036643417606822613	0.0012652197519821592	0.0008081496321443547	0.00036006091743802214	5.31731818511243e-05	0.0006385421114865014
B	9.181933976352414e-05	0.0001768163600898915	0.014112834483843904	0.004872863425842049	0.0031125049849359777	0.001386737499877106	0.00020479102754447472	0.00245927910629584
S	0.0036643417606822613	0.014112834483843904	0.2816086942790768	0.19446705880701182	0.12421437603457307	0.05534215498598525	0.008172835008146738	0.09814532704746294
T	0.0012652197519821592	0.004872863425842049	0.19446705880701182	0.03357268235082647	0.04288859836311228	0.019108476277193507	0.002821907168416858	0.03388750680342623
H	0.0008081496321443547	0.0031125049849359777	0.12421437603457307	0.04288859836311228	0.013697385349871184	0.012205395979678646	0.0018024720500362207	0.0216453909406438
I	0.00036006091743802214	0.001386737499877106	0.05534215498598525	0.019108476277193507	0.012205395979678646	0.002718980433410904	0.0008030687810503234	0.009643832045945579
N	5.31731818511243e-05	0.00020479102754447472	0.008172835008146738	0.002821907168416858	0.0018024720500362207	0.0008030687810503234	5.929791358305347e-05	0.0014241846595556497
U	0.0006385421114865014	0.00245927910629584	0.09814532704746294	0.03388750680342623	0.0216453909406438	0.009643832045945579	0.0014241846595556497	0.008551320872667696
