	L	B	S	T	H	I	N	U
L	0.00029120684499048195	0.00011949283308117234	0.002231192104867851	0.002481981454808853	0.0004415714499597659	0.0002605219388086288	0.0001929076974274533	0.0005950660555088785
B	0.00011949283308117234	0.004085483866283541	0.010605983606536317	0.0019515787197364857	0.0018366251661031743	0.002111029669672586	0.0001775691373720738	0.0016212157232137685
S	0.002231192104867851	0.010605983606536317	0.44490897269246565	0.057158824817456926	0.03731193494681541	0.027341107875851502	0.00437974285114291	0.032489585098257216
T	0.002481981454808853	0.0019515787197364857	0.057158824817456926	0.1362114820240524	0.008347205451782065	0.004787787478971476	0.0035839596688991954	0.0157226936588781
H	0.0004415714499597659	0.0018366251661031743	0.03731193494681541	0.008347205451782065	0.08587162041009844	0.006122522502348882	0.0016684226722573044	0.006600135675403243
I	0.0002605219388086288	0.002111029669672586	0.027341107875851502	0.004787787478971476	0.006122522502348882	0.02850981271921829	0.0009002566841843664	0.005744835765716217
N	0.0001929076974274533	0.0001775691373720738	0.00437974285114291	0.0035839596688991954	0.0016684226722573044	0.0009002566841843664	0.001507017418476585	0.0014841341555310212
U	0.0005950660555088785	0.0016212157232137685	0.032489585098257216	0.0157226936588781	0.006600135675403243	0.005744835765716217	0.0014841341555310212	0.06034451916382175
