	L	B	S	T	H	I	N	U
L	4.610757813883361	0.3799847321784802	-0.7157613608293382	0.972145107865119	-0.8720168223635917	-0.46692131636998246	1.8590665715855315	-0.1018130302070431
B	0.3799847321784802	4.530211676007645	-0.41211775264756184	-1.3201476620271513	-0.7610886293892068	0.6061804933065579	-0.2059429956875162	-0.6012228317886315
S	-0.7157613608293382	-0.41211775264756184	0.6598212103517334	-1.7664873669596382	-1.7351392060255684	-1.0173272076222954	-0.9001443404364692	-1.5950155378557078
T	0.972145107865119	-1.3201476620271513	-1.7664873669596382	2.0205193384545974	-2.3612451566893617	-1.9968148705317597	0.3448693684968881	-1.107865539918774
H	-0.8720168223635917	-0.7610886293892068	-1.7351392060255684	-2.3612451566893617	2.6482875676451414	-0.9953239492640117	-0.11157320922361343	-1.7135917932824447
I	-0.46692131636998246	0.6061804933065579	-1.0173272076222954	-1.9968148705317597	-0.9953239492640117	3.3903252451107386	0.1646756395682761	-0.7474356810219438
N	1.8590665715855315	-0.2059429956875162	-0.9001443404364692	0.3448693684968881	-0.11157320922361343	0.1646756395682761	4.667724870998078	0.05976012826014425
U	-0.1018130302070431	-0.6012228317886315	-1.5950155378557078	-1.107865539918774	-1.7135917932824447	-0.7474356810219438	0.05976012826014425	2.818993052854246
