	L	B	S	T	H	I	N	U
L	37407.0	15347.0	286571.0	318788.0	56714.0	33460.0	24777.0	76428.0
B	15347.0	524767.0	1362286.0	250659.0	235892.0	271139.0	22806.0	208231.0
S	286571.0	1362286.0	57145925.0	7341467.0	4792432.0	3511791.0	562516.0	4172969.0
T	318788.0	250659.0	7341467.0	17495031.0	1072108.0	614940.0	460342.0	2019534.0
H	56714.0	235892.0	4792432.0	1072108.0	11029721.0	786408.0	214296.0	847707.0
I	33460.0	271139.0	3511791.0	614940.0	786408.0	3662011.0	115628.0	737866.0
N	24777.0	22806.0	562516.0	460342.0	214296.0	115628.0	193605.0	190677.0
U	76428.0	208231.0	4172969.0	2019534.0	847707.0	737866.0	190677.0	7751175.0
