	z	a	q	v	f	r	x	s	w	c	d	e	n	h	y	t	b	g
z	2.292103181389765	0.4780326163539441	0.16449354460772092	0.6117851381790769	0.1513468020798725	0.08615023818452552	0.26332913477336406	0.7530127940386377	1.4480053990520028	0.4495386105600813	0.7428909278013659	0.401323058538861	0.5399085492349054	0.7320532898906524	0.7042094855344654	0.37209949934027714	0.7030780353235729	0.630870203546925
a	0.4780326163539441	4.972302382818694	0.7616180306737657	0.47310176554077454	0.5284123211782542	0.1350076476238978	0.2593390488555577	0.2056825876365442	0.45320056987574914	0.3054361446690865	0.3333723285252814	0.1997798224698739	0.5590286550475813	0.5489609348503531	0.7612331844687016	0.1690574979908503	0.7528493656781086	0.762797707005902
q	0.16449354460772092	0.7616180306737657	27.91292794669103	0.1691691707634764	0.12097117988726659	0.5846834908368017	0.08620515326052906	0.061373217911474355	0.12080667980822288	0.13825122711572907	0.09743305153318188	0.04608387127128676	0.2537708491489694	0.15621945277238392	0.2959286039565569	0.06837660767201609	0.6857613402595389	0.3812720620553456
v	0.6117851381790769	0.47310176554077454	0.1691691707634764	14.12575990717808	1.4461176320568923	0.9982366823351424	0.3122451063967509	0.23120191789162597	0.18407915429345004	0.3991927048946491	0.3541927534742502	0.2114964221198712	2.374811920554943	2.4285458742112866	2.416560821099863	0.6189380772535866	0.7348114384378558	2.449066254331719
f	0.1513468020798725	0.5284123211782542	0.12097117988726659	1.4461176320568923	9.866160719093424	1.1938179017763737	0.10221257318576821	0.07942990278422392	0.050772170755219885	0.13141803826452045	0.08343052182251308	0.04523671083857147	0.7933892133880911	0.6339488630775744	0.6538700809334456	0.24836139257814088	0.2691513212209894	2.368196897310789
r	0.08615023818452552	0.1350076476238978	0.5846834908368017	0.9982366823351424	1.1938179017763737	41.473585654082186	0.09288295881580574	0.08544657035635914	0.029604294856125285	0.08273883972808786	0.0638912204704532	0.02680875511548349	1.4252020040903892	0.9921775041155019	1.7050906558860044	0.1044801875637837	0.15471306417797068	3.5511758278302255
x	0.26332913477336406	0.2593390488555577	0.08620515326052906	0.3122451063967509	0.10221257318576821	0.09288295881580574	6.461703695384273	1.0641236345457692	0.5611895294580866	0.4037207594160773	0.5050957786931707	0.40280559264315136	1.0701827954403704	0.9300122078473884	0.9715753803722208	0.14436358377459388	0.5960765237110913	0.5503893717581987
s	0.7530127940386377	0.2056825876365442	0.061373217911474355	0.23120191789162597	0.07942990278422392	0.08544657035635914	1.0641236345457692	31.959338042614	4.011862184588833	0.4592364503718701	0.574419904202626	0.25722414364324986	0.7250988597453378	0.9270846165483192	1.9620347526905475	0.2776184520791211	0.5933158364586886	0.39802552803242947
w	1.4480053990520028	0.45320056987574914	0.12080667980822288	0.18407915429345004	0.050772170755219885	0.029604294856125285	0.5611895294580866	4.011862184588833	76.44016985367418	1.5103479562399242	2.111931695396211	0.7138224624441891	0.4546712073921598	0.6021490406796209	2.9550514879868297	0.7845705056219658	0.9193933160656073	0.2128140415031801
c	0.4495386105600813	0.3054361446690865	0.13825122711572907	0.3991927048946491	0.13141803826452045	0.08273883972808786	0.4037207594160773	0.4592364503718701	1.5103479562399242	11.047154198726366	2.5660201320493012	0.6953374530986387	1.3798271286849157	2.158501032350975	1.2156818559203786	0.3468008680326848	1.4245041621311385	0.7148868706667397
d	0.7428909278013659	0.3333723285252814	0.09743305153318188	0.3541927534742502	0.08343052182251308	0.0638912204704532	0.5050957786931707	0.574419904202626	2.111931695396211	2.5660201320493012	60.35469449029758	1.5035136534642206	0.7973934323318054	2.911950457201584	1.1272599617264283	0.38486112293386304	0.9274187659314483	0.49254214255360645
e	0.401323058538861	0.1997798224698739	0.04608387127128676	0.2114964221198712	0.04523671083857147	0.02680875511548349	0.40280559264315136	0.25722414364324986	0.7138224624441891	0.6953374530986387	1.5035136534642206	153.2750901051616	0.40408882496293635	0.6762838643940263	0.7560817024753558	0.247302955881094	0.7916485891661755	0.3223933625745884
n	0.5399085492349054	0.5590286550475813	0.2537708491489694	2.374811920554943	0.7933892133880911	1.4252020040903892	1.0701827954403704	0.7250988597453378	0.4546712073921598	1.3798271286849157	0.7973934323318054	0.40408882496293635	59.14147231131482	12.086053318366087	7.671758711945154	0.7682777269407609	0.9548780254098368	4.9264595557550885
h	0.7320532898906524	0.5489609348503531	0.15621945277238392	2.4285458742112866	0.6339488630775744	0.9921775041155019	0.9300122078473884	0.9270846165483192	0.6021490406796209	2.158501032350975	2.911950457201584	0.6762838643940263	12.086053318366087	81.71972638530997	11.002752513724817	0.9419718849499263	1.1718089643833953	3.5078382824745
y	0.7042094855344654	0.7612331844687016	0.2959286039565569	2.416560821099863	0.6538700809334456	1.7050906558860044	0.9715753803722208	1.9620347526905475	2.9550514879868297	1.2156818559203786	1.1272599617264283	0.7560817024753558	7.671758711945154	11.002752513724817	315.438698678579	1.0608270807129803	1.0455250522827892	3.2560431488086317
t	0.37209949934027714	0.1690574979908503	0.06837660767201609	0.6189380772535866	0.24836139257814088	0.1044801875637837	0.14436358377459388	0.2776184520791211	0.7845705056219658	0.3468008680326848	0.38486112293386304	0.247302955881094	0.7682777269407609	0.9419718849499263	1.0608270807129803	4.574884031912695	0.5098053921246297	0.7194662750040186
b	0.7030780353235729	0.7528493656781086	0.6857613402595389	0.7348114384378558	0.2691513212209894	0.15471306417797068	0.5960765237110913	0.5933158364586886	0.9193933160656073	1.4245041621311385	0.9274187659314483	0.7916485891661755	0.9548780254098368	1.1718089643833953	1.0455250522827892	0.5098053921246297	30.272580526277295	1.6376365936646535
g	0.630870203546925	0.762797707005902	0.3812720620553456	2.449066254331719	2.368196897310789	3.5511758278302255	0.5503893717581987	0.39802552803242947	0.2128140415031801	0.7148868706667397	0.49254214255360645	0.3223933625745884	4.9264595557550885	3.5078382824745	3.2560431488086317	0.7194662750040186	1.6376365936646535	48.08108324685601
