	L	B	S	T	H	I	N	U
L	5.022693860899868	0.6279744092569802	-0.679212844325312	1.4157426624046459	-1.0842448251356065	-0.6712614606050491	2.266381805081892	-0.5297272288927446
B	0.6279744092569802	4.633254521471221	-0.3430514956348589	-1.0964204461165992	-0.7952048839798584	0.4966316630672635	0.102380541213321	-0.8436635863758214
S	-0.679212844325312	-0.3430514956348589	0.699386446065948	-1.6844376821539218	-1.7926458667077942	-1.2318976739171146	-0.8475815868084169	-1.6658353916174402
T	1.4157426624046459	-1.0964204461165992	-1.6844376821539218	2.4501205766277834	-2.5992744727578545	-2.204840954230703	0.7481642258025797	-1.5119317566226504
H	-1.0842448251356065	-0.7952048839798584	-1.7926458667077942	-2.5992744727578545	2.4466502121849594	-0.8390170406474554	-0.39410543887229194	-1.5268395664758097
I	-0.6712614606050491	0.4966316630672635	-1.2318976739171146	-2.204840954230703	-0.8390170406474554	3.212328339423715	0.27812102719581705	-1.1456398145648097
N	2.266381805081892	0.102380541213321	-0.8475815868084169	0.7481642258025797	-0.39410543887229194	0.27812102719581705	5.036050733800038	-0.3939291443231506
U	-0.5297272288927446	-0.8436635863758214	-1.6658353916174402	-1.5119317566226504	-1.5268395664758097	-1.1456398145648097	-0.3939291443231506	2.41428247144057
