	L	B	S	T	H	I	N	U
L	32.50734580283231	1.5453936866257068	0.6245059211450801	2.667970403482104	0.47163908157359047	0.6279573751157812	4.811150084120259	0.6926856881212688
B	1.5453936866257068	24.816960445933756	0.788372033360033	0.46767543391522587	0.5762613299776539	1.4109155741573147	1.0735434187460384	0.5572267467094145
S	0.6245059211450801	0.788372033360033	1.6238140650369395	0.3111241562551775	0.288642197672031	0.425757050489165	0.5557155106400584	0.3151618051244254
T	2.667970403482104	0.46767543391522587	0.3111241562551775	5.464617726198537	0.1650214568050357	0.21690858293343854	1.6796541744955027	0.35064139855481535
H	0.47163908157359047	0.5762613299776539	0.288642197672031	0.1650214568050357	5.451488531299535	0.5590243224293489	0.7609610738082352	0.3470367695007085
I	0.6279573751157812	1.4109155741573147	0.425757050489165	0.21690858293343854	0.5590243224293489	9.268451593692285	1.2126145406159639	0.451989193598866
N	4.811150084120259	1.0735434187460384	0.5557155106400584	1.6796541744955027	0.7609610738082352	1.2126145406159639	32.80970537793439	0.7610540674642672
U	0.6926856881212688	0.5572267467094145	0.3151618051244254	0.35064139855481535	0.3470367695007085	0.451989193598866	0.7610540674642672	5.33054288802124
